customer_id,recency,frequency,monetary,R_Score,F_Score,M_Score,RFM_Segment,RFM_Score,cluster
C100347,237,1,2400.68,1,1,4,114,6,0
C100349,734,1,7502,1,1,4,114,6,2
C100355,320,1,162.64,1,1,2,112,4,0
C100361,339,1,47.07,1,1,1,111,3,0
C100364,396,1,7502,1,1,4,114,6,2
C100367,9,1,11.73,4,1,1,411,6,0
C100368,69,1,650.56,2,1,3,213,6,0
C100369,567,1,7502,1,1,4,114,6,2
C100376,791,1,136.35,1,1,2,112,4,0
C100379,459,1,2400.68,1,1,4,114,6,0
C100383,386,1,5.23,1,1,1,111,3,0
C100384,516,1,242.4,1,1,2,112,4,0
C100386,520,1,2700.72,1,1,4,114,6,0
C100398,199,1,300.08,1,1,2,112,4,0
C100400,441,1,300.08,1,1,2,112,4,0
C100401,168,1,7502,1,1,4,114,6,2
C100402,387,1,300.08,1,1,2,112,4,0
C100403,151,1,7502,1,1,4,114,6,2
C100404,315,1,47.07,1,1,1,111,3,0
C100406,623,1,7502,1,1,4,114,6,2
C100410,608,1,2700.72,1,1,4,114,6,0
C100415,536,1,11.73,1,1,1,111,3,0
C100416,226,1,5.23,1,1,1,111,3,0
C100420,374,1,4801.28,1,1,4,114,6,2
C100421,563,1,600.17,1,1,3,113,5,0
C100427,104,1,365.94,1,1,2,112,4,0
C100438,523,1,4801.28,1,1,4,114,6,2
C100439,479,1,143.36,1,1,2,112,4,0
C100440,198,1,5.23,1,1,1,111,3,0
C100441,202,1,2700.72,1,1,4,114,6,0
C100444,107,1,650.56,1,1,3,113,5,0
C100446,754,1,573.44,1,1,3,113,5,0
C100449,206,1,20.92,1,1,1,111,3,0
C100451,587,1,9602.72,1,1,4,114,6,2
C100454,368,1,4801.28,1,1,4,114,6,2
C100455,159,1,2700.72,1,1,4,114,6,0
C100459,16,1,47.07,4,1,1,411,6,0
C100462,501,1,5401.53,1,1,4,114,6,2
C100463,597,1,20.92,1,1,1,111,3,0
C100467,389,1,130.75,1,1,2,112,4,0
C100471,154,1,365.94,1,1,2,112,4,0
C100472,693,1,5.23,1,1,1,111,3,0
C100473,86,1,20.92,2,1,1,211,4,0
C100474,571,1,7502,1,1,4,114,6,2
C100477,174,1,83.68,1,1,1,111,3,0
C100478,437,1,896,1,1,3,113,5,0
C100481,209,1,242.4,1,1,2,112,4,0
C100484,171,1,573.44,1,1,3,113,5,0
C100488,383,1,47.07,1,1,1,111,3,0
C100490,68,1,4801.28,2,1,4,214,7,2
C100493,651,1,143.36,1,1,2,112,4,0
C100494,762,1,9450,1,1,4,114,6,2
C100496,276,1,2400.68,1,1,4,114,6,0
C100507,409,1,7502,1,1,4,114,6,2
C100508,83,1,2700.72,2,1,4,214,7,0
C100515,331,1,573.44,1,1,3,113,5,0
C100519,712,1,1200.32,1,1,4,114,6,0
C100521,211,1,322.56,1,1,2,112,4,0
C100523,632,1,4801.28,1,1,4,114,6,2
C100525,341,1,1200.32,1,1,4,114,6,0
C100529,387,1,47.07,1,1,1,111,3,0
C100535,435,1,35.84,1,1,1,111,3,0
C100539,571,1,293.25,1,1,2,112,4,0
C100540,397,1,20.92,1,1,1,111,3,0
C100544,258,1,365.94,1,1,2,112,4,0
C100545,61,1,16800,2,1,4,214,7,1
C100549,80,1,1016.5,2,1,4,214,7,0
C100551,63,1,1050,2,1,4,214,7,0
C100561,45,1,9602.72,3,1,4,314,8,2
C100563,316,1,300.08,1,1,2,112,4,0
C100570,768,1,7502,1,1,4,114,6,2
C100572,271,1,2700.72,1,1,4,114,6,0
C100574,350,1,1200.32,1,1,4,114,6,0
C100576,331,1,4801.28,1,1,4,114,6,2
C100579,167,1,365.94,1,1,2,112,4,0
C100587,305,1,143.36,1,1,2,112,4,0
C100599,497,1,7502,1,1,4,114,6,2
C100605,607,1,130.75,1,1,2,112,4,0
C100606,266,1,4801.28,1,1,4,114,6,2
C100607,596,1,26250,1,1,4,114,6,1
C100610,681,1,300.08,1,1,2,112,4,0
C100622,717,1,143.36,1,1,2,112,4,0
C100625,410,1,11.73,1,1,1,111,3,0
C100629,767,1,896,1,1,3,113,5,0
C100630,793,1,5401.53,1,1,4,114,6,2
C100636,612,1,896,1,1,3,113,5,0
C100639,592,1,2700.72,1,1,4,114,6,0
C100640,379,1,1200.32,1,1,4,114,6,0
C100642,755,1,2400.68,1,1,4,114,6,0
C100648,701,1,2700.72,1,1,4,114,6,0
C100651,392,1,1050,1,1,4,114,6,0
C100654,123,1,2700.72,1,1,4,114,6,0
C100655,687,1,162.64,1,1,2,112,4,0
C100656,424,1,7502,1,1,4,114,6,2
C100657,768,1,187.68,1,1,2,112,4,0
C100661,592,1,5401.53,1,1,4,114,6,2
C100663,460,1,5.23,1,1,1,111,3,0
C100666,667,1,143.36,1,1,2,112,4,0
C100671,353,1,1200.32,1,1,4,114,6,0
C100672,296,1,7502,1,1,4,114,6,2
C100676,613,1,2700.72,1,1,4,114,6,0
C100677,419,1,2700.72,1,1,4,114,6,0
C100684,382,1,35.84,1,1,1,111,3,0
C100687,264,1,7502,1,1,4,114,6,2
C100688,316,1,105.57,1,1,2,112,4,0
C100690,696,1,9602.72,1,1,4,114,6,2
C100691,234,1,600.17,1,1,3,113,5,0
C100694,460,1,83.68,1,1,1,111,3,0
C100696,166,1,5401.53,1,1,4,114,6,2
C100697,639,1,1016.5,1,1,4,114,6,0
C100703,39,1,1016.5,3,1,4,314,8,0
C100705,464,1,1200.32,1,1,4,114,6,0
C100706,409,1,5401.53,1,1,4,114,6,2
C100709,362,1,15004.25,1,1,4,114,6,1
C100710,461,1,242.4,1,1,2,112,4,0
C100713,55,1,9450,3,1,4,314,8,2
C100718,306,1,573.44,1,1,3,113,5,0
C100720,2,1,2700.72,4,1,4,414,9,0
C100722,174,1,11.73,1,1,1,111,3,0
C100725,410,1,300.08,1,1,2,112,4,0
C100728,328,1,300.08,1,1,2,112,4,0
C100735,627,1,650.56,1,1,3,113,5,0
C100736,85,1,300.08,2,1,2,212,5,0
C100743,374,1,322.56,1,1,2,112,4,0
C100745,411,1,16800,1,1,4,114,6,1
C100746,277,1,143.36,1,1,2,112,4,0
C100748,423,1,600.17,1,1,3,113,5,0
C100753,299,1,20.92,1,1,1,111,3,0
C100754,151,1,650.56,1,1,3,113,5,0
C100758,399,1,2700.72,1,1,4,114,6,0
C100760,86,1,4801.28,2,1,4,214,7,2
C100764,168,1,2700.72,1,1,4,114,6,0
C100765,516,1,40.66,1,1,1,111,3,0
C100768,239,1,47.07,1,1,1,111,3,0
C100772,714,1,4801.28,1,1,4,114,6,2
C100778,259,1,600.17,1,1,3,113,5,0
C100782,722,1,5401.53,1,1,4,114,6,2
C100783,223,1,20.92,1,1,1,111,3,0
C100786,369,1,1200.32,1,1,4,114,6,0
C100787,442,1,650.56,1,1,3,113,5,0
C100794,724,1,40.66,1,1,1,111,3,0
C100795,540,1,242.4,1,1,2,112,4,0
C100797,88,1,5401.53,2,1,4,214,7,2
C100799,315,1,162.64,1,1,2,112,4,0
C100801,5,1,1016.5,4,1,4,414,9,0
C100804,8,1,40.66,4,1,1,411,6,0
C100812,381,1,9450,1,1,4,114,6,2
C100816,327,1,130.75,1,1,2,112,4,0
C100822,442,1,7502,1,1,4,114,6,2
C100828,46,1,300.08,3,1,2,312,6,0
C100833,233,1,896,1,1,3,113,5,0
C100840,460,1,4801.28,1,1,4,114,6,2
C100841,400,1,1200.32,1,1,4,114,6,0
C100843,47,1,322.56,3,1,2,312,6,0
C100844,376,1,2400.68,1,1,4,114,6,0
C100849,84,1,300.08,2,1,2,212,5,0
C100851,214,1,2700.72,1,1,4,114,6,0
C100852,142,1,130.75,1,1,2,112,4,0
C100854,572,1,300.08,1,1,2,112,4,0
C100857,259,1,9602.72,1,1,4,114,6,2
C100867,188,1,4801.28,1,1,4,114,6,2
C100869,680,1,322.56,1,1,2,112,4,0
C100879,626,1,7502,1,1,4,114,6,2
C100885,394,1,83.68,1,1,1,111,3,0
C100894,1,1,1200.32,4,1,4,414,9,0
C100895,595,1,11.73,1,1,1,111,3,0
C100899,512,1,365.94,1,1,2,112,4,0
C100900,489,1,162.64,1,1,2,112,4,0
C100901,324,1,15004.25,1,1,4,114,6,1
C100902,523,1,600.17,1,1,3,113,5,0
C100910,223,1,5401.53,1,1,4,114,6,2
C100911,614,1,4801.28,1,1,4,114,6,2
C100919,447,1,60.6,1,1,1,111,3,0
C100921,692,1,573.44,1,1,3,113,5,0
C100926,597,1,4200,1,1,4,114,6,2
C100931,210,1,300.08,1,1,2,112,4,0
C100935,374,1,4801.28,1,1,4,114,6,2
C100936,502,1,2700.72,1,1,4,114,6,0
C100940,372,1,1200.32,1,1,4,114,6,0
C100941,347,1,4801.28,1,1,4,114,6,2
C100944,519,1,1200.32,1,1,4,114,6,0
C100948,181,1,365.94,1,1,2,112,4,0
C100952,223,1,2700.72,1,1,4,114,6,0
C100955,64,1,105.57,2,1,2,212,5,0
C100960,596,1,5.23,1,1,1,111,3,0
C100962,419,1,20.92,1,1,1,111,3,0
C100966,100,1,650.56,1,1,3,113,5,0
C100978,499,1,300.08,1,1,2,112,4,0
C100979,213,1,4801.28,1,1,4,114,6,2
C100980,711,1,7502,1,1,4,114,6,2
C100986,643,1,4801.28,1,1,4,114,6,2
C100987,505,1,47.07,1,1,1,111,3,0
C100994,733,1,1016.5,1,1,4,114,6,0
C101001,363,1,1200.32,1,1,4,114,6,0
C101002,787,1,4801.28,1,1,4,114,6,2
C101004,205,1,2400.68,1,1,4,114,6,0
C101010,649,1,15004.25,1,1,4,114,6,1
C101014,613,1,300.08,1,1,2,112,4,0
C101018,515,1,300.08,1,1,2,112,4,0
C101024,200,1,7502,1,1,4,114,6,2
C101027,723,1,5.23,1,1,1,111,3,0
C101034,111,1,46.92,1,1,1,111,3,0
C101035,789,1,136.35,1,1,2,112,4,0
C101038,795,1,1200.32,1,1,4,114,6,0
C101041,635,1,16800,1,1,4,114,6,1
C101045,743,1,2400.68,1,1,4,114,6,0
C101052,289,1,40.66,1,1,1,111,3,0
C101054,353,1,130.75,1,1,2,112,4,0
C101055,280,1,378.75,1,1,2,112,4,0
C101061,270,1,1200.32,1,1,4,114,6,0
C101064,281,1,1200.32,1,1,4,114,6,0
C101067,94,1,4801.28,1,1,4,114,6,2
C101068,6,1,896,4,1,3,413,8,0
C101069,502,1,4801.28,1,1,4,114,6,2
C101071,286,1,7502,1,1,4,114,6,2
C101072,759,1,600.17,1,1,3,113,5,0
C101074,530,1,1200.32,1,1,4,114,6,0
C101078,215,1,5.23,1,1,1,111,3,0
C101079,489,1,1016.5,1,1,4,114,6,0
C101080,242,1,7502,1,1,4,114,6,2
C101082,573,1,20.92,1,1,1,111,3,0
C101084,632,1,365.94,1,1,2,112,4,0
C101089,144,1,83.68,1,1,1,111,3,0
C101095,580,1,650.56,1,1,3,113,5,0
C101097,245,1,1016.5,1,1,4,114,6,0
C101099,328,1,47.07,1,1,1,111,3,0
C101100,713,1,2700.72,1,1,4,114,6,0
C101108,549,1,600.17,1,1,3,113,5,0
C101115,437,1,365.94,1,1,2,112,4,0
C101116,114,1,1200.32,1,1,4,114,6,0
C101117,471,1,105.57,1,1,2,112,4,0
C101119,704,1,573.44,1,1,3,113,5,0
C101120,627,1,1200.32,1,1,4,114,6,0
C101125,160,1,4801.28,1,1,4,114,6,2
C101131,139,1,322.56,1,1,2,112,4,0
C101132,99,1,46.92,1,1,1,111,3,0
C101133,23,1,60.6,4,1,1,411,6,0
C101134,20,1,9450,4,1,4,414,9,2
C101135,22,1,9450,4,1,4,414,9,2
C101136,402,1,130.75,1,1,2,112,4,0
C101137,239,1,143.36,1,1,2,112,4,0
C101138,71,1,365.94,2,1,2,212,5,0
C101143,64,1,7502,2,1,4,214,7,2
C101154,38,1,187.68,3,1,2,312,6,0
C101173,174,1,162.64,1,1,2,112,4,0
C101188,307,1,600.17,1,1,3,113,5,0
C101196,338,1,650.56,1,1,3,113,5,0
C101204,134,1,300.08,1,1,2,112,4,0
C101205,125,1,4801.28,1,1,4,114,6,2
C101206,541,1,46.92,1,1,1,111,3,0
C101208,98,1,40.66,1,1,1,111,3,0
C101209,455,1,9450,1,1,4,114,6,2
C101210,609,1,4200,1,1,4,114,6,2
C101212,790,1,162.64,1,1,2,112,4,0
C101216,303,1,26250,1,1,4,114,6,1
C101217,368,1,20.92,1,1,1,111,3,0
C101220,732,1,7502,1,1,4,114,6,2
C101221,11,1,365.94,4,1,2,412,7,0
C101222,712,1,4801.28,1,1,4,114,6,2
C101225,135,1,2400.68,1,1,4,114,6,0
C101227,96,1,2700.72,1,1,4,114,6,0
C101229,47,1,300.08,3,1,2,312,6,0
C101235,481,1,4801.28,1,1,4,114,6,2
C101236,351,1,300.08,1,1,2,112,4,0
C101238,107,1,15.15,1,1,1,111,3,0
C101248,618,1,47.07,1,1,1,111,3,0
C101249,88,1,46.92,2,1,1,211,4,0
C101250,105,1,130.75,1,1,2,112,4,0
C101251,603,1,40.66,1,1,1,111,3,0
C101253,42,1,7502,3,1,4,314,8,2
C101259,735,1,46.92,1,1,1,111,3,0
C101261,180,1,1016.5,1,1,4,114,6,0
C101271,440,1,83.68,1,1,1,111,3,0
C101278,49,1,2700.72,3,1,4,314,8,0
C101285,487,1,162.64,1,1,2,112,4,0
C101287,422,1,300.08,1,1,2,112,4,0
C101288,273,1,322.56,1,1,2,112,4,0
C101290,328,1,47.07,1,1,1,111,3,0
C101294,475,1,5401.53,1,1,4,114,6,2
C101295,757,1,20.92,1,1,1,111,3,0
C101301,680,1,600.17,1,1,3,113,5,0
C101303,736,1,5401.53,1,1,4,114,6,2
C101307,18,1,896,4,1,3,413,8,0
C101308,183,1,4801.28,1,1,4,114,6,2
C101314,516,1,1016.5,1,1,4,114,6,0
C101316,538,1,4801.28,1,1,4,114,6,2
C101318,37,1,896,3,1,3,313,7,0
C101320,38,1,15004.25,3,1,4,314,8,1
C101327,279,1,9602.72,1,1,4,114,6,2
C101329,589,1,162.64,1,1,2,112,4,0
C101337,93,1,4801.28,1,1,4,114,6,2
C101343,725,1,35.84,1,1,1,111,3,0
C101344,374,1,26250,1,1,4,114,6,1
C101347,640,1,60.6,1,1,1,111,3,0
C101351,147,1,46.92,1,1,1,111,3,0
C101356,7,1,300.08,4,1,2,412,7,0
C101359,127,1,4801.28,1,1,4,114,6,2
C101362,456,1,573.44,1,1,3,113,5,0
C101363,228,1,300.08,1,1,2,112,4,0
C101364,155,1,4801.28,1,1,4,114,6,2
C101365,627,1,130.75,1,1,2,112,4,0
C101367,251,1,162.64,1,1,2,112,4,0
C101368,302,1,300.08,1,1,2,112,4,0
C101370,366,1,20.92,1,1,1,111,3,0
C101375,306,1,130.75,1,1,2,112,4,0
C101377,35,1,130.75,3,1,2,312,6,0
C101382,579,1,20.92,1,1,1,111,3,0
C101384,491,1,1200.32,1,1,4,114,6,0
C101386,295,1,293.25,1,1,2,112,4,0
C101391,606,1,1016.5,1,1,4,114,6,0
C101393,94,1,2700.72,1,1,4,114,6,0
C101397,530,1,2700.72,1,1,4,114,6,0
C101401,154,1,1050,1,1,4,114,6,0
C101404,728,1,4200,1,1,4,114,6,2
C101405,744,1,300.08,1,1,2,112,4,0
C101406,720,1,9602.72,1,1,4,114,6,2
C101407,327,1,9602.72,1,1,4,114,6,2
C101410,499,1,1200.32,1,1,4,114,6,0
C101411,545,1,1016.5,1,1,4,114,6,0
C101412,185,1,2700.72,1,1,4,114,6,0
C101413,52,1,2700.72,3,1,4,314,8,0
C101414,60,1,650.56,3,1,3,313,7,0
C101419,446,1,7502,1,1,4,114,6,2
C101420,460,1,2700.72,1,1,4,114,6,0
C101422,155,1,322.56,1,1,2,112,4,0
C101423,427,1,2700.72,1,1,4,114,6,0
C101425,513,1,2400.68,1,1,4,114,6,0
C101427,16,1,26250,4,1,4,414,9,1
C101428,786,1,15004.25,1,1,4,114,6,1
C101429,275,1,2700.72,1,1,4,114,6,0
C101432,54,1,15004.25,3,1,4,314,8,1
C101433,726,1,20.92,1,1,1,111,3,0
C101438,632,1,322.56,1,1,2,112,4,0
C101451,110,1,1200.32,1,1,4,114,6,0
C101452,501,1,2700.72,1,1,4,114,6,0
C101466,776,1,1200.32,1,1,4,114,6,0
C101471,684,1,322.56,1,1,2,112,4,0
C101472,613,1,40.66,1,1,1,111,3,0
C101475,367,1,5.23,1,1,1,111,3,0
C101478,728,1,4801.28,1,1,4,114,6,2
C101482,782,1,136.35,1,1,2,112,4,0
C101484,46,1,2700.72,3,1,4,314,8,0
C101489,47,1,300.08,3,1,2,312,6,0
C101494,656,1,46.92,1,1,1,111,3,0
C101503,289,1,4801.28,1,1,4,114,6,2
C101508,224,1,4801.28,1,1,4,114,6,2
C101509,493,1,322.56,1,1,2,112,4,0
C101518,195,1,7502,1,1,4,114,6,2
C101521,623,1,162.64,1,1,2,112,4,0
C101522,457,1,20.92,1,1,1,111,3,0
C101523,538,1,650.56,1,1,3,113,5,0
C101525,526,1,46.92,1,1,1,111,3,0
C101526,649,1,143.36,1,1,2,112,4,0
C101527,723,1,35.84,1,1,1,111,3,0
C101529,44,1,365.94,3,1,2,312,6,0
C101531,495,1,136.35,1,1,2,112,4,0
C101537,471,1,4801.28,1,1,4,114,6,2
C101541,505,1,7502,1,1,4,114,6,2
C101543,678,1,1200.32,1,1,4,114,6,0
C101545,348,1,573.44,1,1,3,113,5,0
C101546,249,1,5.23,1,1,1,111,3,0
C101550,422,1,2400.68,1,1,4,114,6,0
C101556,280,1,2700.72,1,1,4,114,6,0
C101558,355,1,4801.28,1,1,4,114,6,2
C101559,593,1,11.73,1,1,1,111,3,0
C101560,258,1,83.68,1,1,1,111,3,0
C101561,781,1,650.56,1,1,3,113,5,0
C101564,304,1,83.68,1,1,1,111,3,0
C101566,143,1,300.08,1,1,2,112,4,0
C101568,725,1,5.23,1,1,1,111,3,0
C101575,622,1,5.23,1,1,1,111,3,0
C101576,341,1,1200.32,1,1,4,114,6,0
C101579,399,1,365.94,1,1,2,112,4,0
C101580,726,1,162.64,1,1,2,112,4,0
C101584,49,1,4801.28,3,1,4,314,8,2
C101594,538,1,20.92,1,1,1,111,3,0
C101595,318,1,2700.72,1,1,4,114,6,0
C101600,603,1,5.23,1,1,1,111,3,0
C101605,782,1,187.68,1,1,2,112,4,0
C101610,744,1,4801.28,1,1,4,114,6,2
C101612,731,1,378.75,1,1,2,112,4,0
C101618,332,1,9602.72,1,1,4,114,6,2
C101624,334,1,7502,1,1,4,114,6,2
C101629,770,1,300.08,1,1,2,112,4,0
C101633,583,1,1200.32,1,1,4,114,6,0
C101640,165,1,40.66,1,1,1,111,3,0
C101643,42,1,1016.5,3,1,4,314,8,0
C101646,115,1,1200.32,1,1,4,114,6,0
C101647,14,1,187.68,4,1,2,412,7,0
C101651,83,1,650.56,2,1,3,213,6,0
C101652,668,1,573.44,1,1,3,113,5,0
C101654,369,1,35.84,1,1,1,111,3,0
C101655,603,1,1050,1,1,4,114,6,0
C101656,270,1,7502,1,1,4,114,6,2
C101657,303,1,143.36,1,1,2,112,4,0
C101662,281,1,9450,1,1,4,114,6,2
C101663,306,1,35.84,1,1,1,111,3,0
C101666,686,1,130.75,1,1,2,112,4,0
C101667,90,1,26250,2,1,4,214,7,1
C101669,691,1,1016.5,1,1,4,114,6,0
C101672,710,1,40.66,1,1,1,111,3,0
C101673,576,1,896,1,1,3,113,5,0
C101689,111,1,2700.72,1,1,4,114,6,0
C101690,648,1,130.75,1,1,2,112,4,0
C101691,371,1,365.94,1,1,2,112,4,0
C101693,715,1,5401.53,1,1,4,114,6,2
C101694,553,1,300.08,1,1,2,112,4,0
C101695,613,1,7502,1,1,4,114,6,2
C101697,32,1,1200.32,3,1,4,314,8,0
C101709,382,1,378.75,1,1,2,112,4,0
C101710,11,1,365.94,4,1,2,412,7,0
C101711,773,1,293.25,1,1,2,112,4,0
C101716,195,1,162.64,1,1,2,112,4,0
C101723,779,1,365.94,1,1,2,112,4,0
C101725,608,1,40.66,1,1,1,111,3,0
C101726,80,1,242.4,2,1,2,212,5,0
C101733,377,1,365.94,1,1,2,112,4,0
C101737,442,1,300.08,1,1,2,112,4,0
C101742,701,1,83.68,1,1,1,111,3,0
C101743,615,1,83.68,1,1,1,111,3,0
C101744,235,1,20.92,1,1,1,111,3,0
C101746,585,1,7502,1,1,4,114,6,2
C101747,742,1,47.07,1,1,1,111,3,0
C101751,222,1,162.64,1,1,2,112,4,0
C101755,620,1,1200.32,1,1,4,114,6,0
C101756,529,1,4801.28,1,1,4,114,6,2
C101757,326,1,47.07,1,1,1,111,3,0
C101758,558,1,7502,1,1,4,114,6,2
C101764,320,1,5.23,1,1,1,111,3,0
C101767,767,1,322.56,1,1,2,112,4,0
C101768,738,1,143.36,1,1,2,112,4,0
C101770,624,1,5.23,1,1,1,111,3,0
C101771,352,1,1016.5,1,1,4,114,6,0
C101773,176,1,130.75,1,1,2,112,4,0
C101775,792,1,7502,1,1,4,114,6,2
C101776,494,1,47.07,1,1,1,111,3,0
C101779,668,1,130.75,1,1,2,112,4,0
C101781,748,1,1200.32,1,1,4,114,6,0
C101786,166,1,573.44,1,1,3,113,5,0
C101788,418,1,26250,1,1,4,114,6,1
C101790,784,1,1016.5,1,1,4,114,6,0
C101791,216,1,15004.25,1,1,4,114,6,1
C101793,284,1,20.92,1,1,1,111,3,0
C101803,750,1,5.23,1,1,1,111,3,0
C101806,755,1,4801.28,1,1,4,114,6,2
C101810,362,1,11.73,1,1,1,111,3,0
C101817,202,1,4801.28,1,1,4,114,6,2
C101818,126,1,2700.72,1,1,4,114,6,0
C101820,27,1,7502,4,1,4,414,9,2
C101822,714,1,1200.32,1,1,4,114,6,0
C101824,523,1,300.08,1,1,2,112,4,0
C101833,779,1,15.15,1,1,1,111,3,0
C101835,201,1,365.94,1,1,2,112,4,0
C101839,596,1,40.66,1,1,1,111,3,0
C101843,678,1,83.68,1,1,1,111,3,0
C101845,431,1,20.92,1,1,1,111,3,0
C101852,499,1,573.44,1,1,3,113,5,0
C101853,82,1,1016.5,2,1,4,214,7,0
C101855,22,1,300.08,4,1,2,412,7,0
C101856,773,1,5401.53,1,1,4,114,6,2
C101863,1,1,2400.68,4,1,4,414,9,0
C101866,677,1,300.08,1,1,2,112,4,0
C101871,83,1,2700.72,2,1,4,214,7,0
C101875,548,1,5.23,1,1,1,111,3,0
C101878,724,1,650.56,1,1,3,113,5,0
C101882,213,1,20.92,1,1,1,111,3,0
C101883,395,1,896,1,1,3,113,5,0
C101885,125,1,130.75,1,1,2,112,4,0
C101886,237,1,293.25,1,1,2,112,4,0
C101893,424,1,365.94,1,1,2,112,4,0
C101897,638,1,4801.28,1,1,4,114,6,2
C101898,454,1,143.36,1,1,2,112,4,0
C101904,491,1,20.92,1,1,1,111,3,0
C101908,411,1,46.92,1,1,1,111,3,0
C101912,590,1,9602.72,1,1,4,114,6,2
